name,closed,review,rating,categories,phone,distance,latitude,longitude,address,station_name
Udupi Palace,False,208,3.5,Indian,+14164058189,782.4109651457201,43.67204466074639,-79.32241952883663,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave
KaSpace Cafe,False,9,5.0,Vegetarian,+16476579600,1023.0188622260717,43.66263,-79.3319,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave
Bombay Chowpatty,False,59,3.0,Indian,+14164058080,832.3577440278639,43.6719822552022,-79.3243740554445,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave
The Social Gardener,False,5,3.5,Vegan,+14164656021,839.3721467797657,43.6716439,-79.3253848,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave
Gerrard/Ashdale Library,False,4,3.5,Libraries,+14163937717,802.887228201701,43.6724815,-79.3220825,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave
Perth-Dupont Branch Public Library,False,3,3.5,Libraries,+14163937677,943.6749939014096,43.66504,-79.45384,"1625 Dufferin Street, Toronto, ON M6H 3L9, Canada",Primrose Ave / Davenport Rd
Dufferin St Clair W Public Library,False,3,4.0,Libraries,+14163937712,681.2970032262906,43.677,-79.4423599,"1625 Dufferin Street, Toronto, ON M6H 3L9, Canada",Primrose Ave / Davenport Rd
Udupi Palace,False,208,3.5,Indian,+14164058189,750.6172831299872,43.67204466074639,-79.32241952883663,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave
Bombay Chowpatty,False,59,3.0,Indian,+14164058080,835.9026079721546,43.6719822552022,-79.3243740554445,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave
The Social Gardener,False,5,3.5,Vegan,+14164656021,863.6850306380934,43.6716439,-79.3253848,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave
Gerrard/Ashdale Library,False,4,3.5,Libraries,+14163937717,761.2854133975964,43.6724815,-79.3220825,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave
PLANTA Toronto,False,173,4.0,Tapas/Small Plates,+16478121210,925.6509477888619,43.65082,-79.3878,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Kupfert & Kim,False,130,4.0,Vegetarian,+14165041233,657.3078010070524,43.6485583,-79.3817111,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Copper Branch,False,39,3.5,Vegan,+14167922982,610.3416378707287,43.64823,-79.37952,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Kupfert & Kim,False,34,3.5,Vegan,+14166011333,781.961020373876,43.6464176062663,-79.3790951381131,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Crave Healthy Habits,False,17,4.0,Salad,+14168554441,779.0144206225094,43.6471768,-79.3815764,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Freshii,False,25,2.5,Vegetarian,+14165984441,285.89566034981624,43.65367,-79.38007,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Freshii,False,7,4.0,Salad,+14169773197,776.7406883726447,43.65958,-79.38102,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Kupfert & Kim,False,6,4.5,Vegetarian,+14162607777,890.5699929952594,43.6475179450612,-79.3844664886699,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Freshii,False,25,2.0,Vegetarian,+16473445017,383.2472294364975,43.65009911988288,-79.37474237242134,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Punjabi Chaap Corner,False,5,4.0,Vegetarian,+14165983787,742.0212670519905,43.65756405198712,-79.38373638423317,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Freshii,False,41,3.0,Vegetarian,+16474977590,1050.3098066681746,43.66099,-79.38385,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Crave Healthy Habits,False,25,4.0,Gluten-Free,+14168553322,642.6205792548445,43.64999,-79.383189,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Vege Delight,False,1,4.0,Vegetarian,+16473490803,799.0437054752484,43.655013,-79.3863578,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Ryerson University Student Learning Centre,False,4,3.5,Libraries,+14169795000,606.4367513228257,43.65767,-79.3811,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Freshii,False,13,3.0,Vegetarian,+16477481800,983.5960854358871,43.65625,-79.38818,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Fit For Life,False,10,2.5,Breakfast & Brunch,+14163632971,610.3416378707287,43.64823,-79.37952,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Vegholic,False,1,3.0,Vegetarian,+14163400015,755.9033508274568,43.6587182,-79.382272,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
City Hall Public Library,False,6,3.5,Libraries,+14163937650,572.1676380615867,43.65334661098505,-79.38382620000098,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Freshii,False,2,3.5,Salad,+16473465505,487.7477782082026,43.64935,-79.379528,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
Freshii,False,11,3.0,Salad,+16476925173,891.0910902485906,43.6482242201003,-79.3853582879312,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E
PLANTA Yorkville,False,512,4.0,Vegetarian,+16478121221,1031.7696244051954,43.67028,-79.38945,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
