name,review,rating,categories,phone,distance,address,station_name,free_bikes
Udupi Palace,208,3.5,vegetarianrestaurant,14164058189.0,782.4109651457201,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
KaSpace Cafe,9,5.0,vegetarianrestaurant,16476579600.0,1023.0188622260716,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
Bombay Chowpatty,59,3.0,vegetarianrestaurant,14164058080.0,832.3577440278639,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
The Social Gardener,5,3.5,vegetarianrestaurant,14164656021.0,839.3721467797657,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
Udupi Palace,208,3.5,vegetarianrestaurant,14164058189.0,750.6172831299872,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave,20.0
Bombay Chowpatty,59,3.0,vegetarianrestaurant,14164058080.0,835.9026079721546,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave,20.0
The Social Gardener,5,3.5,vegetarianrestaurant,14164656021.0,863.6850306380934,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave,20.0
PLANTA Toronto,173,4.0,vegetarianrestaurant,16478121210.0,925.650947788862,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Kupfert & Kim,130,4.0,vegetarianrestaurant,14165041233.0,657.3078010070524,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Copper Branch,39,3.5,vegetarianrestaurant,14167922982.0,610.3416378707287,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Kupfert & Kim,34,3.5,vegetarianrestaurant,14166011333.0,781.961020373876,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Crave Healthy Habits,17,4.0,vegetarianrestaurant,14168554441.0,779.0144206225094,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,25,2.5,vegetarianrestaurant,14165984441.0,285.89566034981624,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,7,4.0,vegetarianrestaurant,14169773197.0,776.7406883726447,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Kupfert & Kim,6,4.5,vegetarianrestaurant,14162607777.0,890.5699929952594,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,25,2.0,vegetarianrestaurant,16473445017.0,383.2472294364975,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Punjabi Chaap Corner,5,4.0,vegetarianrestaurant,14165983787.0,742.0212670519905,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,41,3.0,vegetarianrestaurant,16474977590.0,1050.3098066681746,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Crave Healthy Habits,25,4.0,vegetarianrestaurant,14168553322.0,642.6205792548445,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Vege Delight,1,4.0,vegetarianrestaurant,16473490803.0,799.0437054752484,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,13,3.0,vegetarianrestaurant,16477481800.0,983.5960854358872,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Fit For Life,10,2.5,vegetarianrestaurant,14163632971.0,610.3416378707287,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Vegholic,1,3.0,vegetarianrestaurant,14163400015.0,755.9033508274568,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,2,3.5,vegetarianrestaurant,16473465505.0,487.7477782082026,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,11,3.0,vegetarianrestaurant,16476925173.0,891.0910902485906,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
PLANTA Yorkville,512,4.0,vegetarianrestaurant,16478121221.0,1031.7696244051954,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Freshii,41,3.0,vegetarianrestaurant,16474977590.0,425.5532625795123,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Kupfert & Kim,10,4.5,vegetarianrestaurant,14169251222.0,1105.2795508807612,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Mad Radish,9,4.5,vegetarianrestaurant,14167920700.0,864.4920277333075,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Freshii,5,3.0,vegetarianrestaurant,16473507797.0,216.55977444744667,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Freshii,7,4.0,vegetarianrestaurant,14169773197.0,474.7004804930343,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Punjabi Chaap Corner,5,4.0,vegetarianrestaurant,14165983787.0,738.7877951725193,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Freshii,53,3.0,vegetarianrestaurant,14169212300.0,1101.1768910776427,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Freshii,6,3.5,vegetarianrestaurant,16474848548.0,592.508065260245,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Vege Delight,1,4.0,vegetarianrestaurant,16473490803.0,1075.8264335909953,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Vegholic,1,3.0,vegetarianrestaurant,14163400015.0,578.8336668771555,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Freshii,13,3.0,vegetarianrestaurant,16477481800.0,1036.8333397883698,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Sun Life Financial Museum + Arts Pass,1,5.0,vegetarianrestaurant,,1039.57617331475,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St,14.0
Saigon Lotus,221,4.5,vegetarianrestaurant,14169011115.0,894.6892784225556,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side),18.0
PLANTA Toronto,173,4.0,vegetarianrestaurant,16478121210.0,784.8661377144938,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side),18.0
