name,distance,category,latitude,longitude,rating,reviews,description,formatted_address,telephone,tips,hours,station_name
Toronto Public Library,810,Library,43.672422,-79.322078,,,,"1432 Gerrard St E (at Ashdale Ave.), Toronto ON M4L 1Z6",(416) 393-7717,Books and computers. What else?,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Queen St E / Woodward Ave
The Social Gardener,841,Coffee Shop,43.67168,-79.325375,,,,"1326 Gerrard St E (btwn Glenside and Highfield), Toronto ON M4L 1Z1",(416) 465-6021,"Great space! I only used the café, but they've got a lot more going on.",Mon-Fri 8:30-17:30; Sat 11:00-17:30,Queen St E / Woodward Ave
Jinglepear Deli,875,Deli,43.670782,-79.327712,,,,"245 Greenwood Ave, Toronto ON M4L 2R4",(647) 333-8346,,Mon-Sat 8:00-16:00,Queen St E / Woodward Ave
Toronto PBLC Lbry-Gerrard Ashdale,824,Library,43.672461,-79.322318,,,,"1432 Gerrard St E, Toronto ON M4L 1Z6",(416) 393-7717,,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Queen St E / Woodward Ave
Toronto Public Library,664,Library,43.676946,-79.442444,,,,"1625 Dufferin St (St. Clair Ave. W), Toronto ON M6H 3L9",(416) 393-7712,Closed on Sunday! ,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 11:00-18:00; Sat 9:00-17:00,Primrose Ave / Davenport Rd
Toronto Public Library,766,Library,43.672422,-79.322078,,,,"1432 Gerrard St E (at Ashdale Ave.), Toronto ON M4L 1Z6",(416) 393-7717,Books and computers. What else?,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Queen St E / Rhodes Ave
The Social Gardener,873,Coffee Shop,43.67168,-79.325375,,,,"1326 Gerrard St E (btwn Glenside and Highfield), Toronto ON M4L 1Z1",(416) 465-6021,"Great space! I only used the café, but they've got a lot more going on.",Mon-Fri 8:30-17:30; Sat 11:00-17:30,Queen St E / Rhodes Ave
Jinglepear Deli,945,Deli,43.670782,-79.327712,,,,"245 Greenwood Ave, Toronto ON M4L 2R4",(647) 333-8346,,Mon-Sat 8:00-16:00,Queen St E / Rhodes Ave
Toronto PBLC Lbry-Gerrard Ashdale,786,Library,43.672461,-79.322318,,,,"1432 Gerrard St E, Toronto ON M4L 1Z6",(416) 393-7717,,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Queen St E / Rhodes Ave
Fresh Kitchen + Juice Bar Front,629,Vegan and Vegetarian Restaurant,43.647823,-79.374336,8.9,19.0,,"47 Front St E (Church Street), Toronto ON M5E 1B3",(647) 693-7556,Buffalo cauliflower. Got tons of zing!,Mon-Fri 11:00-22:00; Sat-Sun 10:30-22:00,Bond St / Queen St E
Rosalinda,755,Mexican,43.650207,-79.384813,8.7,35.0,,"133 Richmond St W, Toronto ON M5H 2L3",(416) 907-0650,Most flavourful vegan food I’ve ever had—great for sharing!,Tue-Sat 12:00-21:00,Bond St / Queen St E
Kupfert & Kim,653,Fast Food,43.648684,-79.381812,7.7,70.0,Healthy Fast Food,"100 King St W, Toronto ON M5X 1B1",(416) 504-1233,Love the green smoothies and cardamom cookies,Mon-Thu 7:30-19:30; Fri 7:30-18:00,Bond St / Queen St E
Planta Queen,964,Vegan and Vegetarian Restaurant,43.650697,-79.388116,7.6,30.0,,"180 Queen St W, Toronto ON M5V 3X3",(647) 812-1221,"Love this place!!!! It does vegetarian food so well, I feel like I never have to eat meat. Amazing quality, amazing taste",Mon-Wed 11:30-21:00; Thu-Sat 11:30-22:00; Sun 11:30-21:00,Bond St / Queen St E
Kupfert & Kim,784,Vegan and Vegetarian Restaurant,43.647128,-79.379274,7.2,11.0,,"181 Bay St (Brookfield Place), Toronto ON M5J 2T3",(416) 601-1333,Skip the breakfast chia pudding -  you could probably make a tastier one at home! Food is overpriced - you're paying for convenience since you could easily make it yourself at home!,Mon-Thu 7:30-19:30; Fri 7:30-18:00,Bond St / Queen St E
PLANTA Burger Financial District,329,Vegan and Vegetarian Restaurant,43.651059,-79.379245,6.7,22.0,Vegan burger joint.,"4 Temperance St, Toronto ON M5H 1Y4",(647) 348-7000,I had the green goddess. Really nice burger. Fries were great too,Mon-Sat 12:00-20:00,Bond St / Queen St E
Toronto Public Library,533,Library,43.653512,-79.384123,6.9,15.0,,"100 Queen St W (City Hall), Toronto ON M5H 2N3",(416) 393-7650,Get photo of this building. Great architecture!,Mon-Fri 10:00-18:00,Bond St / Queen St E
Freshii,292,Salad,43.6530239,-79.3803414,5.9,20.0,,"220 Yonge Street (in Eaton Centre), Toronto ON M5B 2H6",(416) 598-4441,Oaxaca bowl with chicken!,Mon-Fri 11:00-19:00; Sat-Sun 11:00-18:00,Bond St / Queen St E
Freshii,381,Fast Food,43.650029,-79.374874,6.0,33.0,,"92 King St E (at Church St), Toronto ON M5C 2V8",(647) 344-5017,Quick and heathy. Can't go wrong with any of the bowls! Recommend the Pangoa.,Mon-Fri 10:00-21:00; Sat 11:00-19:00,Bond St / Queen St E
Planta Burger,321,Burgers,43.651177,-79.37917,,,,"10 Temperance St, Toronto ON M5H 1Y4",(647) 348-7000,I only had a spicy cocktail & the cauliflower tots but I was impressed. Would definitely come back to try other dishes,Mon-Sat 11:30-19:30,Bond St / Queen St E
Freshii,424,Salad,43.661036,-79.384105,7.2,29.0,,"23 College St (btwn Yonge & Bay), Toronto ON M5G 2B3",(647) 497-7590,"Healthy and tasty. Live the concept. Wraps with spinach and goat cheese or bacon and eggs, various satisfying oatmeal, smoothies, juices, breakfast balls, energii bites...all yum.",Mon-Fri 9:00-21:00; Sat-Sun 11:00-19:00,Church St / Alexander St
