name,distance,category,latitude,longitude,rating,reviews,description,formatted_address,telephone,tips,hours
Toronto Public Library,810,Library,43.672422,-79.322078,,,,"1432 Gerrard St E (at Ashdale Ave.), Toronto ON M4L 1Z6",(416) 393-7717,Books and computers. What else?,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00
The Social Gardener,841,Coffee Shop,43.67168,-79.325375,,,,"1326 Gerrard St E (btwn Glenside and Highfield), Toronto ON M4L 1Z1",(416) 465-6021,"Great space! I only used the café, but they've got a lot more going on.",Mon-Fri 8:30-17:30; Sat 11:00-17:30
Jinglepear Deli,875,Deli,43.670782,-79.327712,,,,"245 Greenwood Ave, Toronto ON M4L 2R4",(647) 333-8346,,Mon-Sat 8:00-16:00
Toronto PBLC Lbry-Gerrard Ashdale,824,Library,43.672461,-79.322318,,,,"1432 Gerrard St E, Toronto ON M4L 1Z6",(416) 393-7717,,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00
Toronto Public Library,664,Library,43.676946,-79.442444,,,,"1625 Dufferin St (St. Clair Ave. W), Toronto ON M6H 3L9",(416) 393-7712,Closed on Sunday! ,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 11:00-18:00; Sat 9:00-17:00
Toronto Public Library,766,Library,43.672422,-79.322078,,,,"1432 Gerrard St E (at Ashdale Ave.), Toronto ON M4L 1Z6",(416) 393-7717,Books and computers. What else?,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00
The Social Gardener,873,Coffee Shop,43.67168,-79.325375,,,,"1326 Gerrard St E (btwn Glenside and Highfield), Toronto ON M4L 1Z1",(416) 465-6021,"Great space! I only used the café, but they've got a lot more going on.",Mon-Fri 8:30-17:30; Sat 11:00-17:30
Jinglepear Deli,945,Deli,43.670782,-79.327712,,,,"245 Greenwood Ave, Toronto ON M4L 2R4",(647) 333-8346,,Mon-Sat 8:00-16:00
Toronto PBLC Lbry-Gerrard Ashdale,786,Library,43.672461,-79.322318,,,,"1432 Gerrard St E, Toronto ON M4L 1Z6",(416) 393-7717,,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00
Fresh Kitchen + Juice Bar Front,629,Vegan and Vegetarian Restaurant,43.647823,-79.374336,8.9,19.0,,"47 Front St E (Church Street), Toronto ON M5E 1B3",(647) 693-7556,Buffalo cauliflower. Got tons of zing!,Mon-Fri 11:00-22:00; Sat-Sun 10:30-22:00
