name,review,rating,categories,phone,distance,address,station_name,free_bikes
Udupi Palace,208,3.5,Indian,14164058189.0,782.4109651457201,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
KaSpace Cafe,9,5.0,Vegetarian,16476579600.0,1023.0188622260716,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
Bombay Chowpatty,59,3.0,Indian,14164058080.0,832.3577440278639,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
The Social Gardener,5,3.5,Vegan,14164656021.0,839.3721467797657,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
Gerrard/Ashdale Library,4,3.5,Libraries,14163937717.0,802.887228201701,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Woodward Ave,7.0
Perth-Dupont Branch Public Library,3,3.5,Libraries,14163937677.0,943.6749939014096,"1625 Dufferin Street, Toronto, ON M6H 3L9, Canada",Primrose Ave / Davenport Rd,3.0
Dufferin St Clair W Public Library,3,4.0,Libraries,14163937712.0,681.2970032262906,"1625 Dufferin Street, Toronto, ON M6H 3L9, Canada",Primrose Ave / Davenport Rd,3.0
Udupi Palace,208,3.5,Indian,14164058189.0,750.6172831299872,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave,20.0
Bombay Chowpatty,59,3.0,Indian,14164058080.0,835.9026079721546,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave,20.0
The Social Gardener,5,3.5,Vegan,14164656021.0,863.6850306380934,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave,20.0
Gerrard/Ashdale Library,4,3.5,Libraries,14163937717.0,761.2854133975964,"1432 Gerrard Street East, Toronto, ON M4L 1Z6, Canada",Queen St E / Rhodes Ave,20.0
PLANTA Toronto,173,4.0,Tapas/Small Plates,16478121210.0,925.650947788862,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Kupfert & Kim,130,4.0,Vegetarian,14165041233.0,657.3078010070524,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Copper Branch,39,3.5,Vegan,14167922982.0,610.3416378707287,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Kupfert & Kim,34,3.5,Vegan,14166011333.0,781.961020373876,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Crave Healthy Habits,17,4.0,Salad,14168554441.0,779.0144206225094,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,25,2.5,Vegetarian,14165984441.0,285.89566034981624,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,7,4.0,Salad,14169773197.0,776.7406883726447,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Kupfert & Kim,6,4.5,Vegetarian,14162607777.0,890.5699929952594,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Freshii,25,2.0,Vegetarian,16473445017.0,383.2472294364975,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
Punjabi Chaap Corner,5,4.0,Vegetarian,14165983787.0,742.0212670519905,"154 University Ave, Unit 100, Toronto, ON M5H 3Y9, Canada",Bond St / Queen St E,31.0
