name,closed,review,rating,categories,phone,distance,latitude,longitude,address
Udupi Palace,False,208,3.5,Indian,+14164058189,782.4109651457201,43.67204466074639,-79.32241952883663,"['1423 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada']"
KaSpace Cafe,False,9,5.0,Vegetarian,+16476579600,1023.0188622260717,43.66263,-79.3319,"['1183 Queen Street E', 'Toronto, ON M4M 1L6', 'Canada']"
Bombay Chowpatty,False,59,3.0,Indian,+14164058080,832.3577440278639,43.6719822552022,-79.3243740554445,"['1386 Gerrard St E', 'Toronto, ON M4L', 'Canada']"
The Social Gardener,False,5,3.5,Vegan,+14164656021,839.3721467797657,43.6716439,-79.3253848,"['1326 Gerrard Street  E', 'Toronto, ON M4L 1Z1', 'Canada']"
Gerrard/Ashdale Library,False,4,3.5,Libraries,+14163937717,802.887228201701,43.6724815,-79.3220825,"['1432 Gerrard Street East', 'Toronto, ON M4L 1Z6', 'Canada']"
Perth-Dupont Branch Public Library,False,3,3.5,Libraries,+14163937677,943.6749939014096,43.66504,-79.45384,"['1589 Dupont Street', 'Toronto, ON M6P 3S5', 'Canada']"
Dufferin St Clair W Public Library,False,3,4.0,Libraries,+14163937712,681.2970032262906,43.677,-79.4423599,"['1625 Dufferin Street', 'Toronto, ON M6H 3L9', 'Canada']"
Udupi Palace,False,208,3.5,Indian,+14164058189,750.6172831299872,43.67204466074639,-79.32241952883663,"['1423 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada']"
Bombay Chowpatty,False,59,3.0,Indian,+14164058080,835.9026079721546,43.6719822552022,-79.3243740554445,"['1386 Gerrard St E', 'Toronto, ON M4L', 'Canada']"
The Social Gardener,False,5,3.5,Vegan,+14164656021,863.6850306380934,43.6716439,-79.3253848,"['1326 Gerrard Street  E', 'Toronto, ON M4L 1Z1', 'Canada']"
Gerrard/Ashdale Library,False,4,3.5,Libraries,+14163937717,761.2854133975964,43.6724815,-79.3220825,"['1432 Gerrard Street East', 'Toronto, ON M4L 1Z6', 'Canada']"
PLANTA Toronto,False,173,4.0,Tapas/Small Plates,+16478121210,925.6509477888619,43.65082,-79.3878,"['180 Queen Street W', 'Toronto, ON M5V 3X3', 'Canada']"
Kupfert & Kim,False,130,4.0,Vegetarian,+14165041233,657.3078010070524,43.6485583,-79.3817111,"['First Canadian Place', '100 King Street West', 'Toronto, ON M5X 1C7', 'Canada']"
Copper Branch,False,39,3.5,Vegan,+14167922982,610.3416378707287,43.64823,-79.37952,"['199 Bay Street', 'Commerce Court', 'Toronto, ON M5L 1E2', 'Canada']"
Crave Healthy Habits,False,17,4.0,Salad,+14168554441,779.0144206225094,43.6471768,-79.3815764,"['TD Centre Food Hall', '100 Wellington Street W', 'Toronto, ON M5K 1A1', 'Canada']"
Kupfert & Kim,False,34,3.5,Vegan,+14166011333,781.961020373876,43.6464176062663,-79.3790951381131,"['181 Bay Street', 'Toronto, ON M5J 2T3', 'Canada']"
Freshii,False,25,2.5,Vegetarian,+14165984441,285.89566034981624,43.65367,-79.38007,"['Eaton Centre', '220 Yonge St', 'Unit H023', 'Toronto, ON M5B 2H1', 'Canada']"
Freshii,False,7,4.0,Salad,+14169773197,776.7406883726447,43.65958,-79.38102,"['26 Gerrard St E', 'The Saint James Hotel', 'Toronto, ON M5B 1G3', 'Canada']"
Freshii,False,25,2.0,Vegetarian,+16473445017,383.2472294364975,43.65009911988288,-79.37474237242134,"['118-92 King Street E', 'Toronto, ON M5C 2V8', 'Canada']"
Punjabi Chaap Corner,False,5,4.0,Vegetarian,+14165983787,742.0212670519905,43.65756405198712,-79.38373638423317,"['38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada']"
Kupfert & Kim,False,6,4.5,Vegetarian,+14162607777,890.5699929952594,43.6475179450612,-79.3844664886699,"['150 King Street W', 'Toronto, ON M5H 1J9', 'Canada']"
Freshii,False,41,3.0,Vegetarian,+16474977590,1050.3098066681746,43.66099,-79.38385,"['23 College St', 'Toronto, ON M5G 2B3', 'Canada']"
Crave Healthy Habits,False,25,4.0,Gluten-Free,+14168553322,642.6205792548445,43.64999,-79.383189,"['120 Adelaide Street West', 'Unit 14', 'Concourse level', 'Toronto, ON M5H 1T1', 'Canada']"
Ryerson University Student Learning Centre,False,4,3.5,Libraries,+14169795000,606.4367513228257,43.65767,-79.3811,"['341 Yonge Street', 'Toronto, ON M5B 1S1', 'Canada']"
